HITId,summary,AssignmentId,WorkerId,rawEventAnnot,storyIx,sentIx,memType,sent,majorBin,minorBin,expectedBin,surprisingBin,eventOrNot,HippocorpusAssignmentId
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",34MAJL3QP59SYOC3514AFSOC5M5435,V1I4K4NW,major-expected,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,1,0,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",38F5OAUN5OY4BJ1LMKRJMY9WFT27HO,RYN1EIYJ,major-surprising,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,0,1,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",39LNWE0K4VI65PO15A2FW2OVNHDIUT,HRCRPH3D,minor-expected,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,0,1,1,0,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",3BV8HQ2ZZXN6XWF2X4CZZYMW7NUA6J,LMR3GZ6H,major-surprising,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,0,1,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",3EF8EXOTT2HMR3H9L4DVX1YYPZ51JP,VVV8JD75,major-expected,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,1,0,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",3LEP4MGT3HMA1FZ9D5K90FGU6R1DB8,ZYMYMP0X,noEvent,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,0,0,0,0,0,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",3QRYMNZ7FZ3JJDK32LPXWEYAQ20NTN,M5QUP5N6,major-expected,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,1,0,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3OLZC0DJ8J14VKF7KY6I34USEDKIVR,"I received a promotion at work about two weeks ago. The promotion occurred earlier than it was supposed to. I was supposed to be promoted in September, but instead, I was promoted in July.",3RXCAC0YISBUB1BTCJ17FYTQBDTG8J,DFV6L6A1,major-surprising,1,0,recalled,The event that recently happened to me was that I received a promotion at work.,1,0,0,1,1,32ZKVD547G9CJNXCKGEXN6TG8BC3BI
3URJ6VVYUP9FXT7VYXI0EBQ1D2MO4G,"My story is about a relatively routine trip to the grocery store that ended up forming a friendship.  I, a younger person, she an older woman.",30BXRYBRP5JJ1Y2MUSZVEE8D8K9WHD,HRCRPH3D,minor-expected,1,0,recalled,I was grocery shopping a few weeks ago.,0,1,1,0,1,33M4IA01QHNBFSLF027BU1NO5YSXRL
3URJ6VVYUP9FXT7VYXI0EBQ1D2MO4G,"My story is about a relatively routine trip to the grocery store that ended up forming a friendship.  I, a younger person, she an older woman.",326O153BMJK88IBTNWMZ1NMF9OEED9,BJPGYWMP,noEvent,1,0,recalled,I was grocery shopping a few weeks ago.,0,0,0,0,0,33M4IA01QHNBFSLF027BU1NO5YSXRL
